x,y,z
43.5290451,74.39982605,68.18742371
47.27147293,83.31718445,39.01816177
62.62151337,20.46821213,73.04367065
67.21904755,18.79714775,85.78734589
58.28572845,98.25079346,81.14057159
73.37905884,8.8437767,94.09342957
65.31774139,91.46247101,76.70502472
73.11782837,16.66592789,72.70922089
70.27067566,23.56811905,15.46098423
76.12301636,86.68845367,29.28086662
73.51354218,22.47865486,22.6790123
71.18333435,27.51676178,58.10484695
87.70386505,29.24692154,21.03011703
85.22340393,74.74742126,91.92132568
96.52326965,8.95698452,7.33455992
47.49430847,1.32493961,6.8341608
7.95390606,64.76256561,10.13826466
12.17008591,89.69197083,68.03984833
20.8844986,48.9613266,31.16687393
24.34995079,65.15618896,12.11394691
28.27547646,89.76432037,54.74961853
26.36240768,35.29613113,33.24030304
38.67276001,55.04240417,11.21672153
56.20021439,22.19604683,11.05247116
54.15947723,47.15929031,48.51612091
54.53595734,20.65982437,39.0902977
56.33598328,43.03933334,12.03389072
67.26553345,15.356493,66.32518768
76.65619659,56.95367813,75.98162842
74.68507385,78.63037872,86.15346527
83.51345062,59.08233643,27.23511314
96.59832764,78.7583847,49.88411331
90.61662292,42.00490952,75.27379608
95.94477081,17.74236107,68.35675049
10.53173256,63.59092331,11.14233494
5.01218081,84.56854248,12.36271954
9.72570229,85.20864105,70.17306519
13.14692211,83.91933441,70.55677795
13.21742249,34.10803604,17.74069977
22.17771339,57.37931824,19.88989639
14.79832935,43.92259216,82.41236877
21.02723312,31.52214241,78.68599701
27.16166496,91.60544586,53.70467377
30.94601631,95.23802948,37.83346558
29.36258316,88.3466568,68.67842865
39.34737396,96.94558716,7.85358429
36.27587128,75.55595398,15.97633743
42.52218628,18.10340881,3.25991607
42.88314438,77.20288086,9.49671936
40.62786102,80.8532486,50.44378281
50.52892685,48.34876251,34.84867477
61.99863815,67.46039581,66.12997437
74.58148193,87.96231842,16.17226791
0.96338052,77.41104889,17.00551224
